q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
1531,active,2018-04-16,,,,CAISO,BATERIA DEL SUR,,SDGE,imperial,,,CA,CAISO,Partial Capacity,Imperial Valley Substation 230 kV,2022-05-01,Executed,IA Executed,Battery,Battery,,,350.0,,
1266,withdrawn,2016-05-02,,,,CAISO,APPLE HILL ENERGY STORAGE,,PGAE,el dorado,,,CA,CAISO,Full Capacity,Apple Hill Substation (PGE) 115kV,2018-05-31,,Feasibility Study,Battery,Battery,,,51.0,,
caiso_c15_530,active,2023-04-17,,,,CAISO,Pinecone,,SDGE,yuma,,,AZ,CAISO,,Hoodoo Wash  - Hassayampa 500kV,,,In Progress (unknown study),Battery,Battery,,,505.0,,
1904,active,2021-04-15,,,,CAISO,NORTHEAST CENTRAL VALLEY,,PGAE,san joaquin,,,CA,CAISO,Full Capacity,Bellota 115 kV,,,Facility Study,Battery,Battery,,,365.0,,
caiso_c15_534,active,2023-04-17,,,,CAISO,Ethan Creek,,TWE,carbon,,,WY,CAISO,,TWE 230 kV (Wyoming Converter Terminal 230 kV AC side),2030-04-01,,In Progress (unknown study),Wind,Wind,,,1870.0,,
232,withdrawn,2007-06-26,,,,CAISO,RAMCO ENERGY CENTER,,SDGE,san diego,,,CA,CAISO,,Interconnection on Site,2010-05-15,,Feasibility Study,Gas,Gas,,,99.0,,
caiso_c15_429,active,2023-04-17,,,,CAISO,Lugano,,PGAE,,,,CA,CAISO,,Lerdo Substation 115kV,2026-06-01,,In Progress (unknown study),Battery,Battery,,,103.0,,
646,withdrawn,2010-08-25,,,,CAISO,BRJ,,PGAE,fresno,,,CA,CAISO,Full Capacity,Chaney #1 115kV Tap,2013-03-01,,Facility Study,Solar,Solar,,,8.0,,
1534,active,2018-04-16,,,,CAISO,VULCAN,,SDGE,maricopa,,,AZ,CAISO,Energy Only,Hassayampa Common Bus 500 kV,2021-05-01,,Facility study,Solar+Battery,Solar,Battery,,225.0,29.0,
1730,withdrawn,2020-04-15,,,,CAISO,AUSTIN ES,,PGAE,san luis obispo,,,CA,CAISO,Full Capacity,Morro Bay Substation 230kV,2024-12-01,,Facility Study,Battery,Battery,,,204.0,,
