n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11
0.0,19.0,3.0,16.0,5.0,1.0,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,10892.5,1370.9,2038.8499992370605,232.4,520.0,189.0,4491.549996197224,145.2699966430664,0.0,0.0,0.0
0.0,19.0,3.0,16.0,5.0,2.0,1.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,10892.5,1370.9,2038.8499992370605,232.4,1370.0,189.0,4491.549996197224,145.2699966430664,0.0,0.0,0.0
0.0,19.0,3.0,16.0,5.0,2.0,1.0,23.0,3.0,0.0,0.0,0.0,0.0,0.0,10892.5,1370.9,2038.8499992370605,232.4,1370.0,189.0,5018.549996197224,145.2699966430664,0.0,0.0,0.0
0.0,19.0,3.0,16.0,5.0,2.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,10892.5,1370.9,2038.8499992370605,232.4,1370.0,189.0,5031.149996578693,145.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,16.0,5.0,2.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2038.8499992370605,232.4,1370.0,189.0,5031.149996578693,145.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,16.0,6.0,2.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2038.8499992370605,732.4,1370.0,189.0,5031.149996578693,145.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,17.0,6.0,2.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2180.1499992370605,732.4,1370.0,189.0,5031.149996578693,145.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,18.0,6.0,2.0,1.0,24.0,3.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2282.1499992370605,732.4,1370.0,189.0,5031.149996578693,145.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,18.0,6.0,2.0,1.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2282.1499992370605,732.4,1370.0,189.0,5031.149996578693,155.7699966430664,0.0,0.0,0.0
0.0,20.0,3.0,18.0,6.0,2.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2282.1499992370605,732.4,1370.0,189.0,5031.149996578693,166.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,19.0,6.0,2.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2582.1499992370605,732.4,1370.0,189.0,5031.149996578693,166.2699966430664,0.0,0.0,0.0
0.0,20.0,3.0,19.0,6.0,3.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,11483.5,1370.9,2582.1499992370605,732.4,1670.0,189.0,5031.149996578693,166.2699966430664,0.0,0.0,0.0
0.0,21.0,3.0,19.0,6.0,3.0,1.0,24.0,5.0,0.0,0.0,0.0,0.0,0.0,12093.5,1370.9,2582.1499992370605,732.4,1670.0,189.0,5031.149996578693,166.2699966430664,0.0,0.0,0.0
0.0,21.0,3.0,19.0,7.0,3.0,1.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,12093.5,1370.9,2582.1499992370605,779.8465,1670.0,189.0,5031.149996578693,175.7049966430664,0.0,0.0,0.0
0.0,21.0,3.0,19.0,7.0,3.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12093.5,1370.9,2582.1499992370605,779.8465,1670.0,189.0,5031.149996578693,182.50499664306642,0.0,0.0,0.0
0.0,21.0,3.0,20.0,7.0,3.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12093.5,1370.9,2642.1499992370605,779.8465,1670.0,189.0,5031.149996578693,182.50499664306642,0.0,0.0,0.0
0.0,19.0,3.0,19.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,11500.5,1370.9,2596.1499992370605,779.8465,1770.0,189.0,5031.149996578693,182.50499664306642,0.0,0.0,0.0
0.0,19.0,3.0,20.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,11500.5,1370.9,2716.1499992370605,779.8465,1770.0,189.0,5031.149996578693,182.50499664306642,0.0,0.0,0.0
0.0,18.0,3.0,21.0,7.0,4.0,1.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,10909.5,1370.9,2749.2499992370604,779.8465,1770.0,189.0,5031.149996578693,145.50499664306642,0.0,0.0,0.0
0.0,18.0,3.0,22.0,7.0,4.0,1.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,10909.5,1370.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,145.50499664306642,0.0,0.0,0.0
0.0,18.0,3.0,22.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,10909.5,1370.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,19.0,3.0,22.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,11523.0,1370.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,20.0,3.0,22.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12093.0,1370.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,20.0,4.0,22.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12093.0,1463.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,22.0,7.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,2783.2499992370604,779.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,23.0,8.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,3383.2499992370604,1079.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,24.0,8.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,3603.2499992370604,1079.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,25.0,8.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4153.24999923706,1079.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,26.0,8.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4313.24999923706,1079.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,27.0,8.0,4.0,1.0,24.0,7.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4493.24999923706,1079.8465,1770.0,189.0,5031.149996578693,173.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,27.0,8.0,4.0,1.0,24.0,8.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4493.24999923706,1079.8465,1770.0,189.0,5031.149996578693,210.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,27.0,8.0,4.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4493.24999923706,1079.8465,1770.0,189.0,5031.149996578693,255.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,27.0,9.0,4.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4463.24999923706,1199.8465,1770.0,189.0,5031.149996578693,255.50499664306642,0.0,0.0,0.0
0.0,21.0,5.0,27.0,9.0,4.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,12663.0,1563.9,4463.24999923706,1199.8465,1770.0,189.0,5031.149996578693,255.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,28.0,9.0,4.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4673.24999923706,1199.8465,1770.0,189.0,5031.149996578693,255.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,29.0,9.0,4.0,1.0,24.0,9.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4773.24999923706,1199.8465,1770.0,189.0,5031.149996578693,255.50499664306642,0.0,0.0,0.0
0.0,21.0,4.0,29.0,9.0,4.0,1.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,12663.0,1463.9,4773.24999923706,1199.8465,1770.0,189.0,5031.149996578693,282.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,29.0,9.0,4.0,1.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,4773.24999923706,1199.8465,1770.0,189.0,5031.149996578693,282.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,30.0,9.0,4.0,1.0,24.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,4873.24999923706,1199.8465,1770.0,189.0,5031.149996578693,282.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,30.0,9.0,4.0,1.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,4873.24999923706,1199.8465,1770.0,189.0,5031.149996578693,917.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,30.0,10.0,5.0,1.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,4873.24999923706,1249.8465,1820.0,189.0,5030.5999965667725,907.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,31.0,10.0,5.0,1.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5001.24999923706,1249.8465,1820.0,189.0,5030.5999965667725,862.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,32.0,10.0,5.0,1.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5129.24999923706,1249.8465,1820.0,189.0,5030.5999965667725,862.5049966430664,0.0,0.0,0.0
0.0,22.0,4.0,32.0,10.0,5.0,1.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5129.24999923706,1249.8465,1820.0,189.0,5030.5999965667725,1162.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,32.0,10.0,6.0,1.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5129.24999923706,1249.8465,2370.0,189.0,5030.5999965667725,1162.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,32.0,10.0,7.0,1.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5129.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1162.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,32.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5129.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,33.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5429.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,34.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5459.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,35.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5609.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,36.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5759.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,37.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5809.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
0.0,22.0,4.0,38.0,10.0,7.0,1.0,23.0,11.0,0.0,0.0,0.0,0.0,0.0,12967.0,1463.9,5879.24999923706,1249.8465,3770.0,189.0,5030.5999965667725,1178.5049966430665,0.0,0.0,0.0
