n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,68.0,11.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11338.0,3222.0,2023.0,6136.0,775.0,0.0,0.0,0.0
0.0,69.0,11.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11538.0,3222.0,2023.0,6136.0,775.0,0.0,0.0,0.0
0.0,70.0,11.0,1.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,11688.0,3222.0,2023.0,6136.0,775.0,0.0,0.0,0.0
0.0,70.0,11.0,1.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,11688.0,3222.0,2023.0,6994.0,775.0,0.0,0.0,0.0
0.0,70.0,11.0,1.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,11688.0,3222.0,2023.0,7852.0,775.0,0.0,0.0,0.0
0.0,70.0,11.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,11688.0,3222.0,2023.0,8710.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,8710.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,9568.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,10426.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,11284.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,12142.0,775.0,0.0,0.0,0.0
0.0,71.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,11988.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,72.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12138.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,73.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12321.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,74.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12501.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,75.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12701.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,76.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12821.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,77.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,12946.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,78.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,13066.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,79.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,13316.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,80.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,13565.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,81.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,13815.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,82.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,13965.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,83.0,11.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14165.0,3222.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,83.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14165.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,84.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14465.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,85.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14565.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,86.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14765.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
0.0,87.0,12.0,1.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0,14865.0,3283.0,2023.0,13000.0,775.0,0.0,0.0,0.0
