n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
166.0,207.0,13.0,39975.0,60000.399999999994,1869.0
166.0,208.0,13.0,39975.0,60300.399999999994,1869.0
166.0,209.0,13.0,39975.0,60900.399999999994,1869.0
166.0,210.0,13.0,39975.0,61800.399999999994,1869.0
166.0,211.0,13.0,39975.0,61815.399999999994,1869.0
166.0,212.0,13.0,39975.0,62715.399999999994,1869.0
166.0,213.0,13.0,39975.0,63005.399999999994,1869.0
166.0,214.0,13.0,39975.0,63066.399999999994,1869.0
166.0,215.0,13.0,39975.0,63119.399999999994,1869.0
166.0,216.0,13.0,39975.0,63180.399999999994,1869.0
166.0,217.0,13.0,39975.0,64080.399999999994,1869.0
166.0,218.0,13.0,39975.0,64129.399999999994,1869.0
166.0,219.0,13.0,39975.0,64409.399999999994,1869.0
167.0,219.0,13.0,40075.0,64409.399999999994,1869.0
167.0,220.0,13.0,40075.0,64659.399999999994,1869.0
167.0,221.0,13.0,40075.0,64709.399999999994,1869.0
167.0,222.0,13.0,40075.0,64959.399999999994,1869.0
167.0,223.0,13.0,40075.0,65239.399999999994,1869.0
167.0,224.0,13.0,40075.0,65288.399999999994,1869.0
167.0,225.0,13.0,40075.0,65738.4,1869.0
167.0,226.0,13.0,40075.0,65988.4,1869.0
168.0,226.0,13.0,40425.0,65988.4,1869.0
169.0,226.0,13.0,40575.0,65988.4,1869.0
169.0,227.0,13.0,40575.0,66488.4,1869.0
170.0,227.0,13.0,41725.0,66488.4,1869.0
170.0,228.0,13.0,41725.0,66537.4,1869.0
170.0,229.0,13.0,41725.0,66787.4,1869.0
171.0,229.0,13.0,42425.0,66787.4,1869.0
172.0,229.0,13.0,42439.0,66787.4,1869.0
172.0,230.0,13.0,42439.0,66837.4,1869.0
172.0,231.0,13.0,42439.0,67087.4,1869.0
172.0,232.0,13.0,42439.0,67137.4,1869.0
172.0,233.0,13.0,42439.0,67387.4,1869.0
172.0,234.0,13.0,42439.0,67667.4,1869.0
172.0,235.0,13.0,42439.0,67717.4,1869.0
172.0,236.0,13.0,42439.0,68317.4,1869.0
173.0,236.0,14.0,42489.0,68317.4,1884.0
173.0,237.0,14.0,42489.0,68367.4,1884.0
173.0,238.0,14.0,42489.0,68416.4,1884.0
173.0,239.0,14.0,42489.0,68465.4,1884.0
173.0,240.0,14.0,42489.0,68615.4,1884.0
174.0,240.0,14.0,42739.0,68615.4,1884.0
174.0,241.0,14.0,42739.0,69015.4,1884.0
174.0,242.0,14.0,42739.0,69265.4,1884.0
175.0,242.0,14.0,42864.0,69265.4,1884.0
175.0,243.0,14.0,42864.0,69515.4,1884.0
175.0,244.0,14.0,42864.0,70015.4,1884.0
175.0,245.0,14.0,42864.0,70064.4,1884.0
175.0,246.0,14.0,42864.0,70564.4,1884.0
175.0,247.0,14.0,42864.0,71714.4,1884.0
175.0,248.0,14.0,42864.0,72164.4,1884.0
