n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,n_type_13,n_type_14,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11,mw_type_12,mw_type_13
0.0,59.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28531.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,60.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28796.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,61.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29596.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,62.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29896.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,63.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30421.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,64.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30426.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,65.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31026.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,66.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31362.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,67.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31530.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,68.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32030.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,68.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31314.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
