q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
291,withdrawn,2007-12-27,2008-11-20,,san bernardino,Steam Turbine,,,250.0,,
290,withdrawn,2007-12-27,,,san bernardino,Steam Turbine,,,750.0,,
292,withdrawn,2007-12-27,,,kern,Steam Turbine,,,250.0,,
293,withdrawn,2008-01-03,,,fresno,Gas,,,5.2,,
294,active,2008-01-16,,,riverside,Solar,Battery,,485.0,390.0,
295,withdrawn,2008-01-17,,,san bernardino,Steam Turbine,,,300.0,,
296,withdrawn,2008-01-18,,,los angeles,Steam Turbine,,,33.0,,
297,active,2008-01-18,,,los angeles,Other,,,66.0,66.0,
298,withdrawn,2008-01-23,2008-11-19,,clark,Steam Turbine,,,140.0,,
299,withdrawn,2008-01-29,,,kings,Gas,,,27.0,,
300,withdrawn,2008-02-04,,,kern,Gas,,,400.0,,
301,withdrawn,2008-02-08,2008-10-27,,san bernardino,Solar,,,500.0,,
302,withdrawn,2008-02-19,,,san bernardino,Solar,,,200.0,,
303,withdrawn,2008-02-27,2008-10-27,,baja california,Wind,,,500.0,,
304,operational,2008-02-28,,2013-03-08,tulare,Solar,,,50.0,,
305,withdrawn,2008-03-10,,,contra costa,Gas,,,611.0,,
314,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
311,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
308,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
312,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
310,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
316,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
307,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
318,withdrawn,2008-03-11,,,kern,Solar,,,100.0,,
317,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
306,withdrawn,2008-03-11,2008-11-20,,san joaquin,Gas,,,200.0,,
315,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
313,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
309,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
319,withdrawn,2008-03-11,,,los angeles,Solar,,,100.0,,
320,operational,2008-03-12,,2013-05-01,contra costa,Gas,,,100.0,,
